Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
9,6,8,8,no,no,r programming,system designing,poor,medium,Computer Architecture,cloud computing,Sales and Marketing,yes,Management,smart worker,no,no,CRM Technical Developer
3,2,2,4,yes,yes,full stack,web technologies,medium,medium,Software Engineering,testing,Finance,no,Technical,hard worker,no,no,CRM Technical Developer
1,4,6,4,no,no,python,data science,medium,poor,data engineering,cloud computing,Finance,yes,Technical,hard worker,no,no,CRM Technical Developer
1,2,8,7,no,yes,shell programming,testing,excellent,medium,cloud computing,Business process analyst,Product based,yes,Technical,smart worker,yes,yes,CRM Technical Developer
1,2,3,2,yes,no,app development,hacking,excellent,poor,cloud computing,cloud computing,Service Based,no,Management,hard worker,yes,yes,CRM Technical Developer
3,6,6,9,yes,no,r programming,web technologies,medium,excellent,cloud computing,cloud computing,Product based,no,Technical,hard worker,yes,yes,CRM Technical Developer
9,4,2,8,no,yes,app development,data science,medium,excellent,programming,cloud computing,Web Services,yes,Management,smart worker,no,yes,CRM Technical Developer
8,0,8,3,yes,no,shell programming,cloud computing,poor,medium,Management,cloud computing,BPA,no,Technical,smart worker,yes,yes,CRM Technical Developer
5,5,1,6,no,no,full stack,system designing,excellent,excellent,IOT,security,Cloud Services,no,Management,hard worker,no,no,CRM Technical Developer
9,3,3,6,no,yes,app development,testing,poor,excellent,IOT,security,Finance,no,Technical,smart worker,yes,no,CRM Technical Developer
4,5,9,8,yes,no,hadoop,database security,poor,excellent,IOT,developer,BPA,yes,Technical,hard worker,yes,no,CRM Technical Developer
1,6,8,3,yes,yes,app development,hacking,medium,excellent,parallel computing,security,BPA,no,Technical,smart worker,yes,no,CRM Technical Developer
7,2,2,2,yes,yes,app development,data science,excellent,poor,parallel computing,Business process analyst,Service Based,yes,Management,smart worker,yes,no,CRM Technical Developer
3,2,2,2,yes,no,distro making,testing,poor,poor,programming,cloud computing,Cloud Services,no,Management,hard worker,yes,yes,CRM Technical Developer
3,2,8,2,no,yes,python,testing,medium,excellent,cloud computing,system developer,Product based,yes,Management,hard worker,no,no,CRM Technical Developer
9,3,8,9,yes,no,distro making,database security,medium,poor,cloud computing,developer,Testing and Maintainance Services,yes,Technical,hard worker,yes,yes,CRM Technical Developer
9,6,2,7,no,no,app development,game development,excellent,poor,programming,cloud computing,Sales and Marketing,no,Management,hard worker,no,yes,CRM Technical Developer
5,2,4,8,yes,no,machine learning,cloud computing,poor,poor,cloud computing,security,Sales and Marketing,yes,Technical,hard worker,no,no,CRM Technical Developer
8,5,5,8,no,yes,r programming,cloud computing,excellent,poor,cloud computing,system developer,SAaS services,yes,Management,hard worker,yes,no,CRM Technical Developer
4,2,1,4,no,yes,hadoop,hacking,medium,medium,data engineering,cloud computing,SAaS services,yes,Technical,hard worker,no,yes,CRM Technical Developer
6,4,5,8,no,no,r programming,cloud computing,excellent,excellent,networks,system developer,Finance,yes,Management,hard worker,yes,no,CRM Technical Developer
5,1,5,2,yes,no,shell programming,hacking,poor,poor,cloud computing,testing,Web Services,no,Technical,smart worker,yes,yes,CRM Technical Developer
6,2,7,6,no,yes,python,database security,excellent,poor,Software Engineering,testing,Finance,yes,Management,hard worker,no,no,CRM Technical Developer
2,2,1,8,no,no,python,data science,medium,excellent,IOT,security,Cloud Services,no,Technical,smart worker,no,yes,CRM Technical Developer
4,6,5,6,yes,yes,hadoop,web technologies,medium,medium,hacking,testing,Product based,no,Technical,smart worker,yes,yes,CRM Technical Developer
3,5,8,1,yes,yes,distro making,cloud computing,excellent,excellent,Computer Architecture,system developer,Product based,no,Technical,smart worker,no,yes,CRM Technical Developer
2,2,8,1,yes,yes,hadoop,web technologies,medium,excellent,networks,security,BPA,no,Technical,smart worker,yes,no,CRM Technical Developer
7,1,4,2,no,no,app development,hacking,medium,excellent,data engineering,system developer,SAaS services,yes,Management,hard worker,yes,no,CRM Technical Developer
6,5,2,9,yes,no,full stack,hacking,poor,medium,cloud computing,security,BPA,yes,Technical,smart worker,no,yes,CRM Technical Developer
6,5,5,9,yes,yes,r programming,hacking,poor,poor,networks,testing,Product based,yes,Management,hard worker,yes,no,CRM Technical Developer
9,5,9,3,yes,yes,python,game development,excellent,excellent,hacking,cloud computing,Finance,no,Technical,smart worker,yes,no,CRM Technical Developer
7,0,6,5,no,yes,shell programming,database security,poor,poor,Software Engineering,security,Product based,no,Technical,smart worker,yes,yes,CRM Technical Developer
8,0,6,2,yes,no,machine learning,hacking,poor,excellent,parallel computing,Business process analyst,Product based,yes,Technical,smart worker,yes,yes,CRM Technical Developer
2,6,4,9,no,no,shell programming,cloud computing,excellent,excellent,programming,security,BPA,yes,Technical,smart worker,no,no,CRM Technical Developer
2,3,4,1,no,no,information security,testing,excellent,medium,Computer Architecture,security,Finance,yes,Management,smart worker,yes,no,CRM Technical Developer
2,3,5,5,yes,yes,python,data science,poor,medium,Software Engineering,Business process analyst,Sales and Marketing,yes,Management,smart worker,no,yes,CRM Technical Developer
8,1,8,9,no,no,hadoop,hacking,poor,medium,networks,cloud computing,Web Services,no,Management,hard worker,yes,yes,CRM Technical Developer
9,2,8,9,yes,yes,distro making,web technologies,poor,medium,Management,Business process analyst,Service Based,yes,Technical,hard worker,no,yes,CRM Technical Developer
6,4,8,4,yes,yes,machine learning,hacking,poor,medium,Software Engineering,cloud computing,Product based,no,Technical,hard worker,no,no,CRM Technical Developer
3,1,7,6,no,no,hadoop,system designing,medium,medium,networks,system developer,Web Services,yes,Management,smart worker,yes,no,CRM Technical Developer
9,2,3,8,yes,yes,full stack,testing,medium,excellent,Software Engineering,Business process analyst,Service Based,yes,Technical,hard worker,no,yes,CRM Technical Developer
6,3,8,2,no,no,hadoop,hacking,poor,excellent,hacking,developer,SAaS services,yes,Management,hard worker,yes,no,CRM Technical Developer
5,4,1,6,no,yes,hadoop,data science,medium,poor,Software Engineering,system developer,product development,yes,Management,hard worker,no,no,CRM Technical Developer
8,0,6,4,no,no,shell programming,hacking,medium,medium,IOT,Business process analyst,BPA,no,Management,smart worker,no,no,CRM Technical Developer
9,1,3,9,yes,yes,full stack,web technologies,poor,excellent,data engineering,testing,SAaS services,no,Technical,smart worker,no,yes,CRM Technical Developer
7,1,2,3,no,yes,python,system designing,poor,medium,Software Engineering,Business process analyst,Cloud Services,yes,Management,hard worker,no,yes,CRM Technical Developer
8,2,5,8,yes,no,r programming,cloud computing,medium,medium,Computer Architecture,developer,Service Based,yes,Management,smart worker,no,yes,CRM Technical Developer
1,0,1,9,no,no,r programming,system designing,excellent,excellent,networks,cloud computing,Product based,yes,Technical,smart worker,yes,no,CRM Technical Developer
1,0,2,6,yes,no,shell programming,game development,medium,excellent,parallel computing,security,Product based,no,Management,hard worker,yes,yes,CRM Technical Developer
9,0,1,1,no,yes,r programming,system designing,excellent,excellent,cloud computing,developer,Service Based,no,Technical,hard worker,no,yes,CRM Technical Developer
9,4,7,9,yes,no,distro making,testing,excellent,excellent,programming,developer,Web Services,no,Management,smart worker,no,yes,CRM Technical Developer
6,2,7,7,yes,no,machine learning,web technologies,poor,excellent,hacking,security,Service Based,yes,Technical,smart worker,yes,no,CRM Technical Developer
1,3,2,6,no,yes,python,hacking,excellent,poor,networks,developer,Service Based,yes,Technical,smart worker,no,yes,CRM Technical Developer
9,1,3,6,no,yes,r programming,database security,medium,medium,Management,developer,Web Services,yes,Technical,smart worker,yes,no,CRM Technical Developer
6,4,2,2,yes,no,information security,testing,medium,poor,Computer Architecture,security,SAaS services,no,Management,smart worker,yes,yes,CRM Technical Developer
6,6,9,9,no,yes,r programming,game development,poor,excellent,Computer Architecture,testing,Finance,no,Technical,hard worker,no,no,CRM Technical Developer
1,3,1,2,yes,yes,app development,database security,excellent,excellent,Management,security,Service Based,yes,Management,hard worker,yes,no,CRM Technical Developer
3,3,1,5,no,no,shell programming,system designing,medium,excellent,hacking,developer,Cloud Services,yes,Management,hard worker,yes,yes,CRM Technical Developer
2,1,5,3,yes,no,r programming,cloud computing,excellent,medium,Software Engineering,security,product development,yes,Technical,smart worker,no,yes,CRM Technical Developer
3,5,6,6,yes,yes,information security,database security,poor,medium,Management,security,Testing and Maintainance Services,yes,Management,hard worker,yes,yes,CRM Technical Developer
2,0,9,2,yes,yes,hadoop,testing,excellent,poor,IOT,testing,Cloud Services,no,Technical,hard worker,no,yes,CRM Technical Developer
4,5,6,1,yes,no,app development,cloud computing,poor,medium,data engineering,system developer,Service Based,yes,Technical,hard worker,no,no,CRM Technical Developer
7,4,9,2,yes,no,information security,data science,medium,excellent,networks,Business process analyst,Service Based,yes,Management,smart worker,yes,yes,CRM Technical Developer
5,4,6,2,no,no,python,data science,excellent,excellent,hacking,security,Sales and Marketing,no,Management,smart worker,yes,yes,CRM Technical Developer
2,6,5,6,no,no,r programming,game development,excellent,medium,IOT,testing,Product based,yes,Management,smart worker,yes,no,CRM Technical Developer
6,2,1,5,yes,no,r programming,hacking,poor,excellent,Management,developer,Web Services,yes,Technical,smart worker,no,yes,CRM Technical Developer
6,5,3,1,no,no,shell programming,system designing,excellent,poor,networks,developer,SAaS services,yes,Technical,hard worker,yes,no,CRM Technical Developer
9,1,2,7,no,no,r programming,web technologies,medium,medium,IOT,system developer,Cloud Services,yes,Management,smart worker,yes,no,CRM Technical Developer
3,2,2,5,yes,no,python,system designing,excellent,medium,Management,developer,Service Based,yes,Technical,smart worker,no,yes,CRM Technical Developer
5,3,9,5,yes,no,hadoop,web technologies,medium,excellent,programming,cloud computing,Sales and Marketing,yes,Technical,smart worker,no,yes,CRM Technical Developer
8,3,3,3,yes,yes,information security,database security,medium,medium,Software Engineering,system developer,Cloud Services,no,Technical,hard worker,no,no,CRM Technical Developer
7,1,8,7,yes,yes,shell programming,database security,medium,poor,networks,developer,Web Services,no,Management,smart worker,no,no,CRM Technical Developer
4,4,3,2,yes,yes,app development,hacking,poor,medium,programming,system developer,SAaS services,no,Management,smart worker,no,yes,CRM Technical Developer
2,5,3,6,no,yes,full stack,database security,medium,poor,data engineering,system developer,Service Based,yes,Management,hard worker,yes,yes,CRM Technical Developer
9,3,3,3,yes,no,hadoop,testing,poor,medium,Computer Architecture,testing,Service Based,no,Management,smart worker,no,yes,CRM Technical Developer
2,5,6,2,yes,no,python,game development,medium,poor,Management,cloud computing,Web Services,no,Technical,smart worker,no,no,CRM Technical Developer
1,4,8,1,no,no,full stack,database security,poor,poor,data engineering,developer,Cloud Services,yes,Technical,hard worker,no,no,CRM Technical Developer
9,4,8,3,no,yes,python,database security,poor,excellent,IOT,Business process analyst,Testing and Maintainance Services,yes,Management,hard worker,yes,no,CRM Technical Developer
8,0,8,4,yes,yes,app development,web technologies,excellent,excellent,hacking,Business process analyst,Finance,yes,Management,hard worker,yes,yes,CRM Technical Developer
2,1,1,6,yes,no,python,hacking,medium,medium,data engineering,system developer,BPA,no,Technical,smart worker,no,yes,CRM Technical Developer
7,5,9,4,no,no,hadoop,data science,excellent,poor,Management,developer,Product based,yes,Management,smart worker,yes,yes,CRM Technical Developer
9,5,2,5,yes,no,distro making,testing,medium,poor,parallel computing,cloud computing,Sales and Marketing,no,Technical,hard worker,yes,yes,CRM Technical Developer
6,6,7,6,no,no,full stack,hacking,poor,poor,data engineering,developer,Finance,yes,Technical,hard worker,no,no,CRM Technical Developer
9,4,8,2,no,yes,shell programming,hacking,excellent,medium,parallel computing,system developer,Service Based,no,Management,hard worker,yes,no,CRM Technical Developer
5,3,6,2,no,no,hadoop,cloud computing,poor,excellent,cloud computing,cloud computing,Finance,no,Management,smart worker,yes,yes,CRM Technical Developer
2,6,6,1,no,yes,full stack,game development,poor,excellent,cloud computing,cloud computing,Product based,yes,Technical,smart worker,no,no,CRM Technical Developer
8,3,5,7,yes,yes,distro making,web technologies,medium,medium,programming,cloud computing,Cloud Services,no,Technical,hard worker,yes,no,CRM Technical Developer
3,3,7,7,no,no,distro making,data science,poor,excellent,hacking,security,Testing and Maintainance Services,yes,Management,hard worker,no,no,CRM Technical Developer
8,3,3,6,no,no,machine learning,database security,excellent,medium,IOT,testing,product development,yes,Technical,smart worker,no,no,CRM Technical Developer
6,4,4,2,no,yes,hadoop,system designing,medium,medium,hacking,testing,Sales and Marketing,no,Management,hard worker,yes,no,CRM Technical Developer
7,4,3,5,yes,yes,app development,database security,poor,excellent,programming,Business process analyst,BPA,no,Technical,hard worker,no,yes,CRM Technical Developer
2,4,8,7,no,yes,full stack,hacking,medium,excellent,hacking,security,Cloud Services,no,Technical,smart worker,yes,no,CRM Technical Developer
1,4,7,9,yes,yes,python,cloud computing,poor,medium,parallel computing,Business process analyst,SAaS services,no,Technical,smart worker,no,yes,CRM Technical Developer
5,6,9,2,no,no,information security,system designing,medium,medium,IOT,cloud computing,Web Services,no,Technical,hard worker,yes,no,CRM Technical Developer
9,4,9,7,no,yes,app development,hacking,poor,excellent,Management,testing,Service Based,yes,Technical,hard worker,no,yes,CRM Technical Developer
4,2,4,6,no,no,python,data science,medium,poor,cloud computing,system developer,Service Based,no,Technical,hard worker,yes,yes,CRM Technical Developer
1,2,5,6,yes,no,distro making,cloud computing,poor,excellent,parallel computing,Business process analyst,Testing and Maintainance Services,no,Technical,hard worker,no,no,CRM Technical Developer
6,1,7,5,no,no,r programming,system designing,excellent,poor,data engineering,system developer,product development,no,Technical,hard worker,no,yes,CRM Technical Developer
9,5,6,9,no,no,distro making,hacking,poor,poor,networks,testing,Product based,yes,Technical,smart worker,yes,no,CRM Technical Developer
2,1,9,7,yes,yes,app development,data science,medium,poor,Computer Architecture,testing,product development,no,Technical,hard worker,no,yes,CRM Technical Developer
3,2,7,4,no,yes,information security,database security,excellent,medium,programming,testing,Web Services,no,Technical,hard worker,no,yes,CRM Technical Developer
4,5,4,6,yes,no,python,hacking,excellent,excellent,Management,testing,SAaS services,no,Technical,smart worker,yes,yes,CRM Technical Developer
1,1,8,9,no,no,python,testing,medium,medium,programming,testing,BPA,no,Technical,hard worker,no,yes,CRM Technical Developer
9,2,9,3,yes,no,hadoop,cloud computing,medium,medium,IOT,developer,SAaS services,no,Technical,smart worker,no,no,CRM Technical Developer
7,2,9,3,yes,yes,machine learning,database security,excellent,poor,parallel computing,developer,Sales and Marketing,no,Technical,hard worker,no,yes,CRM Technical Developer
7,3,2,2,yes,no,hadoop,hacking,poor,poor,Software Engineering,cloud computing,product development,yes,Management,hard worker,yes,no,CRM Technical Developer
3,1,4,6,yes,no,information security,database security,medium,excellent,Management,developer,Cloud Services,no,Technical,hard worker,yes,no,CRM Technical Developer
8,6,5,1,yes,no,distro making,database security,excellent,poor,parallel computing,testing,BPA,no,Management,hard worker,yes,no,CRM Technical Developer
5,1,6,5,yes,yes,hadoop,data science,excellent,excellent,Computer Architecture,system developer,Web Services,yes,Management,hard worker,no,no,CRM Technical Developer
9,0,8,1,no,no,information security,system designing,medium,poor,cloud computing,cloud computing,Testing and Maintainance Services,yes,Management,smart worker,no,yes,CRM Technical Developer
9,2,1,7,yes,yes,information security,system designing,excellent,poor,Computer Architecture,cloud computing,product development,no,Management,smart worker,no,yes,CRM Technical Developer
6,0,7,3,yes,yes,r programming,game development,poor,poor,Computer Architecture,testing,Cloud Services,yes,Management,smart worker,no,no,CRM Technical Developer
6,5,8,4,no,yes,r programming,system designing,poor,excellent,IOT,developer,BPA,yes,Technical,smart worker,no,yes,CRM Technical Developer
9,4,5,4,no,no,shell programming,testing,medium,poor,cloud computing,cloud computing,Sales and Marketing,yes,Technical,hard worker,yes,no,CRM Technical Developer
4,3,5,8,no,yes,shell programming,database security,medium,poor,data engineering,system developer,BPA,yes,Technical,smart worker,no,yes,CRM Technical Developer
1,3,8,1,yes,yes,machine learning,cloud computing,poor,excellent,hacking,testing,Sales and Marketing,yes,Technical,hard worker,no,yes,CRM Technical Developer
3,4,2,8,no,yes,hadoop,testing,poor,poor,cloud computing,security,Sales and Marketing,no,Technical,smart worker,yes,yes,CRM Technical Developer
4,6,8,7,yes,yes,information security,database security,poor,medium,IOT,Business process analyst,product development,no,Management,hard worker,no,yes,CRM Technical Developer
7,6,5,2,no,yes,distro making,database security,excellent,excellent,Software Engineering,Business process analyst,Service Based,yes,Management,smart worker,no,yes,CRM Technical Developer
4,4,4,2,no,yes,distro making,cloud computing,excellent,poor,Management,security,Service Based,no,Management,smart worker,no,yes,CRM Technical Developer
6,5,5,5,yes,yes,app development,hacking,excellent,poor,cloud computing,Business process analyst,product development,yes,Management,smart worker,yes,no,CRM Technical Developer
2,0,8,2,yes,yes,r programming,data science,excellent,medium,data engineering,cloud computing,BPA,yes,Technical,hard worker,no,yes,CRM Technical Developer
9,6,8,8,yes,yes,distro making,database security,medium,excellent,hacking,security,Service Based,no,Technical,hard worker,yes,yes,CRM Technical Developer
3,6,5,7,no,yes,r programming,web technologies,poor,excellent,programming,security,SAaS services,yes,Technical,smart worker,yes,yes,CRM Technical Developer
4,0,3,5,yes,no,hadoop,cloud computing,poor,medium,Computer Architecture,testing,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,CRM Technical Developer
4,2,5,3,yes,yes,machine learning,testing,poor,poor,hacking,system developer,Cloud Services,no,Management,smart worker,yes,yes,CRM Technical Developer
9,1,6,8,no,yes,app development,testing,poor,excellent,data engineering,security,Web Services,no,Technical,hard worker,no,no,CRM Technical Developer
8,0,2,9,yes,no,shell programming,data science,poor,medium,Computer Architecture,system developer,Testing and Maintainance Services,no,Management,hard worker,yes,no,CRM Technical Developer
9,5,7,3,no,yes,information security,data science,medium,excellent,programming,developer,product development,no,Management,smart worker,yes,no,CRM Technical Developer
8,2,6,4,yes,no,shell programming,cloud computing,medium,medium,hacking,system developer,SAaS services,no,Technical,smart worker,yes,no,CRM Technical Developer
8,2,3,4,yes,yes,machine learning,hacking,medium,medium,networks,system developer,Service Based,yes,Management,hard worker,no,yes,CRM Technical Developer
6,4,9,4,yes,no,hadoop,testing,poor,medium,IOT,testing,Web Services,yes,Technical,hard worker,no,yes,CRM Technical Developer
3,1,2,8,yes,no,hadoop,data science,medium,medium,hacking,cloud computing,Product based,no,Management,smart worker,yes,yes,CRM Technical Developer
2,4,5,2,yes,yes,machine learning,database security,medium,poor,parallel computing,testing,Testing and Maintainance Services,yes,Management,hard worker,yes,no,CRM Technical Developer
3,2,2,1,no,no,hadoop,data science,excellent,medium,parallel computing,system developer,Web Services,yes,Management,smart worker,no,no,CRM Technical Developer
7,6,1,9,no,no,python,testing,excellent,poor,cloud computing,system developer,Product based,no,Technical,smart worker,no,no,CRM Technical Developer
9,5,7,2,yes,yes,distro making,database security,medium,poor,parallel computing,cloud computing,Cloud Services,yes,Management,smart worker,no,yes,CRM Technical Developer
5,4,7,5,no,yes,r programming,testing,medium,poor,Software Engineering,testing,Service Based,yes,Management,hard worker,yes,no,CRM Technical Developer
1,2,6,9,yes,yes,information security,data science,poor,medium,networks,Business process analyst,Cloud Services,no,Technical,hard worker,no,no,CRM Technical Developer
5,6,4,4,no,yes,r programming,game development,poor,poor,Management,system developer,Service Based,no,Management,hard worker,yes,no,CRM Technical Developer
8,1,6,5,no,no,full stack,game development,poor,poor,Computer Architecture,developer,Sales and Marketing,yes,Technical,smart worker,yes,yes,CRM Technical Developer
6,2,1,7,no,no,machine learning,testing,medium,medium,cloud computing,Business process analyst,Web Services,yes,Technical,hard worker,no,no,CRM Technical Developer
3,3,7,8,yes,no,python,database security,medium,excellent,data engineering,security,Sales and Marketing,yes,Technical,hard worker,yes,no,CRM Technical Developer
7,1,5,4,no,no,information security,web technologies,medium,medium,parallel computing,developer,product development,no,Technical,smart worker,yes,no,CRM Technical Developer
3,2,8,6,yes,no,python,database security,poor,excellent,data engineering,security,Sales and Marketing,no,Technical,hard worker,yes,yes,CRM Technical Developer
6,6,5,2,yes,no,shell programming,database security,poor,medium,Computer Architecture,Business process analyst,Product based,no,Management,hard worker,yes,yes,CRM Technical Developer
4,5,2,3,yes,no,full stack,game development,poor,medium,Management,developer,Sales and Marketing,yes,Technical,smart worker,no,no,CRM Technical Developer
5,4,5,4,yes,yes,information security,database security,medium,medium,hacking,developer,Cloud Services,no,Technical,smart worker,yes,no,CRM Technical Developer
6,2,4,2,no,no,distro making,cloud computing,poor,medium,cloud computing,testing,BPA,no,Technical,smart worker,yes,yes,CRM Technical Developer
2,5,6,9,no,no,machine learning,testing,excellent,medium,Software Engineering,developer,Service Based,yes,Technical,hard worker,no,no,CRM Technical Developer
2,5,8,3,yes,no,r programming,game development,excellent,poor,networks,testing,product development,yes,Technical,smart worker,yes,no,CRM Technical Developer
2,2,3,6,no,yes,shell programming,cloud computing,excellent,medium,Computer Architecture,developer,Web Services,no,Management,hard worker,yes,yes,CRM Technical Developer
9,5,3,9,yes,yes,information security,game development,excellent,medium,cloud computing,cloud computing,product development,no,Management,hard worker,no,yes,CRM Technical Developer
5,0,9,4,yes,no,distro making,system designing,excellent,excellent,cloud computing,security,Sales and Marketing,no,Management,smart worker,yes,no,CRM Technical Developer
2,2,1,6,yes,no,distro making,game development,poor,medium,cloud computing,Business process analyst,Sales and Marketing,no,Management,hard worker,yes,no,CRM Technical Developer
5,6,1,3,yes,no,hadoop,data science,poor,excellent,Management,testing,product development,yes,Technical,hard worker,yes,no,CRM Technical Developer
8,2,3,6,no,yes,information security,cloud computing,excellent,excellent,IOT,security,Sales and Marketing,no,Technical,hard worker,yes,yes,CRM Technical Developer
3,0,7,6,no,no,full stack,cloud computing,excellent,excellent,data engineering,security,product development,yes,Technical,smart worker,no,no,CRM Technical Developer
3,2,2,3,yes,no,distro making,database security,poor,medium,Computer Architecture,security,Finance,no,Technical,smart worker,no,yes,CRM Technical Developer
2,5,2,5,yes,no,full stack,system designing,poor,poor,cloud computing,developer,Cloud Services,no,Management,smart worker,no,yes,CRM Technical Developer
1,5,6,1,no,yes,python,system designing,excellent,poor,Software Engineering,testing,BPA,no,Technical,hard worker,no,no,CRM Technical Developer
7,5,9,4,no,yes,app development,hacking,medium,poor,hacking,security,Cloud Services,yes,Management,smart worker,no,no,CRM Technical Developer
3,1,7,4,no,no,app development,cloud computing,medium,excellent,cloud computing,developer,BPA,yes,Management,hard worker,no,yes,CRM Technical Developer
4,6,3,5,yes,yes,shell programming,hacking,medium,excellent,Software Engineering,testing,product development,yes,Management,smart worker,yes,yes,CRM Technical Developer
3,2,3,4,yes,no,app development,web technologies,medium,excellent,parallel computing,security,Service Based,yes,Technical,hard worker,no,yes,CRM Technical Developer
2,3,3,4,no,no,information security,game development,excellent,medium,cloud computing,cloud computing,Sales and Marketing,no,Management,hard worker,no,no,CRM Technical Developer
5,4,3,5,yes,yes,r programming,web technologies,medium,medium,networks,developer,Finance,yes,Management,hard worker,yes,no,CRM Technical Developer
1,4,8,5,no,yes,information security,database security,medium,excellent,networks,developer,BPA,no,Management,hard worker,yes,no,CRM Technical Developer
4,6,1,1,yes,no,distro making,web technologies,poor,medium,data engineering,testing,Product based,yes,Management,hard worker,no,no,CRM Technical Developer
6,2,4,4,yes,yes,app development,testing,excellent,excellent,IOT,system developer,Web Services,yes,Technical,smart worker,yes,no,CRM Technical Developer
8,0,4,1,no,no,python,system designing,medium,poor,parallel computing,security,Product based,yes,Technical,hard worker,no,no,CRM Technical Developer
1,3,8,6,yes,no,r programming,testing,excellent,excellent,Computer Architecture,system developer,SAaS services,no,Technical,hard worker,no,no,CRM Technical Developer
5,5,2,6,no,no,hadoop,data science,medium,excellent,cloud computing,system developer,Cloud Services,yes,Management,smart worker,no,yes,CRM Technical Developer
9,2,7,8,yes,yes,app development,testing,medium,excellent,Management,Business process analyst,Web Services,no,Management,hard worker,no,no,CRM Technical Developer
4,5,1,9,no,no,distro making,web technologies,excellent,excellent,IOT,system developer,Service Based,no,Management,hard worker,yes,no,CRM Technical Developer
3,6,9,2,no,yes,python,database security,medium,excellent,IOT,testing,Sales and Marketing,no,Technical,hard worker,no,yes,CRM Technical Developer
6,0,7,1,yes,yes,full stack,web technologies,excellent,excellent,IOT,system developer,Web Services,yes,Technical,smart worker,yes,no,CRM Technical Developer
6,6,6,5,yes,no,distro making,cloud computing,poor,medium,parallel computing,Business process analyst,Web Services,yes,Technical,hard worker,yes,no,CRM Technical Developer
9,1,3,7,no,yes,machine learning,hacking,excellent,poor,Management,cloud computing,product development,no,Technical,smart worker,no,yes,CRM Technical Developer
9,5,3,9,yes,no,r programming,testing,poor,excellent,IOT,system developer,Testing and Maintainance Services,no,Technical,hard worker,yes,no,CRM Technical Developer
1,6,4,4,yes,yes,hadoop,game development,poor,medium,parallel computing,security,SAaS services,yes,Technical,smart worker,no,yes,CRM Technical Developer
2,6,7,4,no,yes,information security,testing,excellent,excellent,data engineering,Business process analyst,Product based,no,Technical,smart worker,no,yes,CRM Technical Developer
5,1,7,6,no,no,full stack,cloud computing,poor,excellent,data engineering,cloud computing,Sales and Marketing,yes,Management,smart worker,yes,no,CRM Technical Developer
7,0,8,1,yes,yes,app development,testing,medium,excellent,IOT,security,product development,no,Management,smart worker,yes,yes,CRM Technical Developer
1,6,2,3,yes,no,python,cloud computing,medium,poor,hacking,Business process analyst,product development,yes,Management,hard worker,no,yes,CRM Technical Developer
9,5,3,9,yes,yes,full stack,database security,medium,poor,Management,testing,Sales and Marketing,yes,Management,smart worker,yes,no,CRM Technical Developer
9,0,3,6,no,yes,r programming,game development,medium,poor,networks,testing,Cloud Services,yes,Management,hard worker,yes,yes,CRM Technical Developer
9,3,6,7,no,yes,distro making,system designing,excellent,poor,hacking,Business process analyst,Service Based,no,Management,hard worker,no,no,CRM Technical Developer
3,4,4,8,yes,no,information security,system designing,poor,poor,hacking,testing,Service Based,yes,Management,hard worker,yes,yes,CRM Technical Developer
9,6,8,2,no,no,full stack,system designing,excellent,excellent,cloud computing,testing,Finance,yes,Management,hard worker,yes,yes,CRM Technical Developer
3,5,8,7,yes,no,hadoop,game development,poor,excellent,Management,system developer,BPA,yes,Management,hard worker,no,yes,CRM Technical Developer
7,2,1,3,yes,no,full stack,testing,medium,medium,parallel computing,system developer,BPA,no,Technical,hard worker,no,no,CRM Technical Developer
3,5,4,1,no,no,r programming,cloud computing,excellent,excellent,Software Engineering,Business process analyst,Finance,yes,Management,hard worker,yes,no,CRM Technical Developer
8,6,5,3,yes,yes,machine learning,hacking,excellent,poor,Software Engineering,Business process analyst,Cloud Services,no,Technical,hard worker,no,yes,CRM Technical Developer
5,2,2,3,yes,yes,r programming,hacking,medium,medium,IOT,security,Web Services,no,Technical,smart worker,yes,no,CRM Technical Developer
4,4,1,8,no,yes,hadoop,database security,excellent,excellent,cloud computing,cloud computing,BPA,yes,Management,smart worker,no,no,CRM Technical Developer
5,3,3,7,no,no,python,hacking,excellent,poor,hacking,developer,product development,yes,Management,smart worker,yes,yes,CRM Technical Developer
6,6,7,9,yes,yes,r programming,database security,excellent,medium,hacking,security,Testing and Maintainance Services,no,Management,hard worker,no,no,CRM Technical Developer
7,6,1,1,no,yes,information security,cloud computing,medium,poor,Management,Business process analyst,Product based,no,Management,smart worker,no,yes,CRM Technical Developer
5,6,8,4,no,yes,information security,web technologies,excellent,poor,Software Engineering,security,product development,yes,Management,smart worker,yes,no,CRM Technical Developer
7,2,5,5,yes,no,distro making,data science,poor,excellent,Software Engineering,testing,Testing and Maintainance Services,yes,Management,smart worker,yes,no,CRM Technical Developer
5,3,3,4,no,yes,information security,system designing,poor,poor,data engineering,cloud computing,BPA,no,Management,hard worker,no,no,CRM Technical Developer
6,5,8,1,yes,yes,information security,data science,poor,excellent,programming,system developer,Cloud Services,yes,Technical,hard worker,no,no,CRM Technical Developer
